combination_name,layer,neurons,train_samples,sort_row,combined_total_rms,combined_train_rms,combined_test_rms,combined_train_count,combined_test_count,cluster_only_total_rms,cluster_only_train_rms,cluster_only_test_rms,cluster_only_train_count,cluster_only_test_count
1L_6N_k10_row149,1,6,10,149,3.8726416,,,27,0,3.402929,,,27,0
1L_6N_k10_row150,1,6,10,150,4.110307,,,27,0,3.6002114,,,27,0
1L_6N_k10_row151,1,6,10,151,4.92764,,,27,0,3.3365438,,,27,0
1L_6N_k10_row152,1,6,10,152,5.7402077,,,27,0,3.2633708,,,27,0
1L_6N_k10_row153,1,6,10,153,4.9110904,,,27,0,3.0417202,,,27,0
1L_6N_k10_row154,1,6,10,154,4.41836,,,27,0,3.3072462,,,27,0
1L_6N_k10_row155,1,6,10,155,5.21211,,,27,0,3.078651,,,27,0
1L_6N_k10_row156,1,6,10,156,4.672356,,,27,0,3.3519197,,,27,0
1L_6N_k10_row157,1,6,10,157,3.9326608,,,27,0,3.3990848,,,27,0
1L_6N_k10_row158,1,6,10,158,4.0704365,,,27,0,3.4510095,,,27,0
1L_6N_k10_row159,1,6,10,159,4.390213,,,27,0,2.9194877,,,27,0
1L_6N_k10_row160,1,6,10,160,4.502663,,,27,0,2.971927,,,27,0
1L_6N_k10_row161,1,6,10,161,4.6946917,,,27,0,3.1335478,,,27,0
1L_6N_k10_row162,1,6,10,162,4.6261587,,,27,0,2.8431962,,,27,0
1L_6N_k10_row163,1,6,10,163,4.515884,,,27,0,3.2532408,,,27,0
1L_6N_k10_row164,1,6,10,164,4.0203657,,,27,0,3.660968,,,27,0
1L_6N_k10_row165,1,6,10,165,4.5084853,,,27,0,3.1979742,,,27,0
1L_6N_k10_row166,1,6,10,166,3.9566605,,,27,0,3.4009352,,,27,0
1L_6N_k10_row167,1,6,10,167,4.000195,,,27,0,3.507677,,,27,0
1L_6N_k10_row168,1,6,10,168,4.2749243,,,27,0,3.457572,,,27,0
1L_6N_k10_row169,1,6,10,169,4.3617945,,,27,0,3.1456466,,,27,0
1L_6N_k10_row170,1,6,10,170,3.9225924,,,27,0,3.2590241,,,27,0
1L_6N_k10_row171,1,6,10,171,5.471667,,,27,0,3.1390798,,,27,0
1L_6N_k10_row172,1,6,10,172,4.760371,,,27,0,2.994158,,,27,0
1L_6N_k10_row173,1,6,10,173,4.602755,,,27,0,3.2482805,,,27,0
1L_6N_k10_row174,1,6,10,174,4.7553988,,,27,0,3.0872493,,,27,0
1L_6N_k10_row175,1,6,10,175,4.8047247,,,27,0,3.1366413,,,27,0
1L_6N_k10_row176,1,6,10,176,4.2095737,,,27,0,3.1892073,,,27,0
1L_6N_k10_row177,1,6,10,177,4.010717,,,27,0,3.9733694,,,27,0
1L_6N_k10_row178,1,6,10,178,4.6323814,,,27,0,2.8471308,,,27,0
1L_6N_k10_row179,1,6,10,179,4.344809,,,27,0,3.2284064,,,27,0
1L_6N_k10_row180,1,6,10,180,5.3819695,,,27,0,3.1403005,,,27,0
1L_6N_k10_row181,1,6,10,181,4.2062244,,,27,0,3.2945404,,,27,0
1L_6N_k10_row182,1,6,10,182,5.364981,,,27,0,3.3193328,,,27,0
1L_6N_k10_row183,1,6,10,183,4.7589917,,,27,0,3.3596787,,,27,0
1L_6N_k10_row184,1,6,10,184,4.6562166,,,27,0,3.39479,,,27,0
1L_6N_k10_row185,1,6,10,185,3.9245017,,,27,0,3.259455,,,27,0
1L_6N_k10_row186,1,6,10,186,4.2032256,,,27,0,3.3763487,,,27,0
1L_6N_k10_row187,1,6,10,187,5.407472,,,27,0,3.264755,,,27,0
1L_6N_k10_row188,1,6,10,188,3.879668,,,27,0,3.4953914,,,27,0
1L_6N_k10_row189,1,6,10,189,4.7312036,,,27,0,3.379458,,,27,0
1L_6N_k10_row190,1,6,10,190,3.9675527,,,27,0,4.3355103,,,27,0
1L_6N_k10_row191,1,6,10,191,6.050396,,,27,0,3.340998,,,27,0
1L_6N_k10_row192,1,6,10,192,4.578112,,,27,0,3.147762,,,27,0
1L_6N_k10_row193,1,6,10,193,5.176933,,,27,0,3.10009,,,27,0
1L_6N_k10_row194,1,6,10,194,3.9392412,,,27,0,3.4807131,,,27,0
1L_6N_k10_row195,1,6,10,195,4.712849,,,27,0,3.315267,,,27,0
1L_6N_k10_row196,1,6,10,196,5.176481,,,27,0,3.1481931,,,27,0
1L_6N_k10_row197,1,6,10,197,3.9644744,,,27,0,3.629009,,,27,0
1L_6N_k10_row198,1,6,10,198,4.124792,,,27,0,3.416708,,,27,0
1L_6N_k10_row199,1,6,10,199,4.0138726,,,27,0,3.4641721,,,27,0
